,Unnamed: 0,Kabupaten,Tahun,Luas Panen,Hasil Panen,Produktivitas,Station,Humidity
0,0,Cilacap,2014,132074.0,697918.4510000001,52.84298582612778,"Meteorologi, Cilacap",82.0
1,1,Banyumas,2014,63831.0,316916.516,49.64931083642745,,83.734375
2,2,Purbalingga,2014,36149.0,174031.418,48.14280284378545,,84.625
3,3,Banjarnegara,2014,25684.0,147390.53,57.38612755022581,,84.953125
4,4,Kebumen,2014,80248.0,447305.641,55.7404098544512,"Sempor, Kebumen",85.0
5,5,Purworejo,2014,55526.0,298340.861,53.7299393077117,,83.79347826086956
6,6,Wonosobo,2014,30528.0,152321.099,49.89553819444445,"Wadaslintang, Wonosobo",82.0
7,7,Magelang,2014,57579.0,334987.242,58.17871828270724,"SMPK. Borobudur, Magelang",81.0
8,8,Boyolali,2014,49781.0,266490.386372682,53.53254984284807,,82.40625
9,9,Klaten,2014,63751.0,344548.106,54.0459139464479,,85.5
10,10,Sukoharjo,2014,49028.0,310275.914,63.28545198661989,,88.59375
11,11,Wonogiri,2014,74672.0,395043.319,52.90380852260553,"SMPK. Selogiri, Wonogiri",90.0
12,12,Karanganyar,2014,46671.0,289381.448,62.00455272010456,,89.11111111111111
13,13,Sragen,2014,100061.0,584627.294,58.42708887578577,,86.88888888888889
14,14,Grobogan,2014,113540.0,579076.1100000001,51.00194733133698,,84.0
15,15,Blora,2014,82732.0,424436.164,51.30253879998066,,81.11111111111111
16,16,Rembang,2014,39673.0,182544.51,46.01227787160034,,78.88888888888889
17,17,Pati,2014,92559.0,497070.277,53.70307339102627,"SMPK. Rendole, Pati",78.0
18,18,Kudus,2014,21682.0,129088.077,59.53697859976018,"SMPK. Colo, Kudus",78.0
19,19,Jepara,2014,38833.0,204010.905,52.53544794375917,,77.48148148148148
20,20,Demak,2014,96675.0,566627.179,58.61155200413758,,76.51851851851852
21,21,Semarang,2014,38510.0,218528.646,56.74594806543755,"Klimatologi, Semarang",76.0
22,22,Semarang,2014,38510.0,218528.646,56.74594806543755,"SI Ungaran, Semarang",76.0
23,23,Temanggung,2014,27156.0,161625.326,59.51735380762999,,77.55555555555556
24,24,Kendal,2014,43616.0,235579.659,54.01221088591342,,80.44444444444444
25,25,Batang,2014,42007.0,178491.603,42.49091889446997,"Gamer, Batang",82.0
26,26,Pekalongan,2014,42604.0,172077.873,40.39007440615904,,80.96296296296296
27,27,Pemalang,2014,82961.0,421639.352,50.82380299176722,,79.03703703703704
28,28,Tegal,2014,60649.0,297206.432,49.0043417039028,"Meteorologi, Tegal",78.0
29,29,Brebes,2014,99756.0,571508.066,57.29059565339428,,78.21484375
30,30,Kota Magelang,2014,523.0,3042.796,58.17965583173997,,78.78125
31,31,Kota Surakarta,2014,185.0,955.979,51.67454054054054,,79.58203125
32,32,Kota Salatiga,2014,1328.0,7652.351000000001,57.623125,,80.5
33,33,Kota Semarang,2014,7808.0,25490.447,32.64657658811475,,81.41796875
34,34,Kota Pekalongan,2014,1882.0,8305.313,44.13024973432519,,82.21875
35,35,Kota Tegal,2014,646.0,3569.155,55.25007739938081,,82.78515625
36,36,Cilacap,2021,115664.0,739140.0,63.9,"Meteorologi, Cilacap",83.0
37,37,Banyumas,2021,52315.0,289998.0,55.43,,82.88921282798833
38,38,Purbalingga,2021,29420.0,157840.0,53.65,,82.60349854227405
39,39,Banjarnegara,2021,19231.0,108445.0,56.39,,82.21282798833819
40,40,Kebumen,2021,74646.0,392998.0,52.65,,81.78717201166181
41,41,Purworejo,2021,48392.0,258863.0,53.49,,81.39650145772595
42,42,Wonosobo,2021,13259.0,67479.0,50.89,,81.11078717201167
43,43,Magelang,2021,32597.0,169584.0,52.02,"SMPK. Borobudur, Magelang",81.0
44,44,Boyolali,2021,50948.0,286152.0,56.17,,81.01457725947522
45,45,Klaten,2021,67242.0,387733.0,57.66,,81.05539358600583
46,46,Sukoharjo,2021,49935.0,328275.0,65.74,,81.11807580174927
47,47,Wonogiri,2021,68773.0,405989.0,59.03,,81.19825072886297
48,48,Karanganyar,2021,45356.0,271490.0,59.86,,81.29154518950438
49,49,Sragen,2021,112111.0,743074.0,66.28,,81.39358600583091
50,50,Grobogan,2021,132664.0,800945.0,60.37,,81.5
51,51,Blora,2021,98967.0,483977.0,48.9,,81.6064139941691
52,52,Rembang,2021,37034.0,196084.0,52.95,,81.70845481049562
53,53,Pati,2021,99147.0,549005.0,55.37,,81.80174927113701
54,54,Kudus,2021,30112.0,171357.0,56.91,,81.88192419825073
55,55,Jepara,2021,39785.0,191726.0,48.19,,81.94460641399417
56,56,Demak,2021,106057.0,656823.0,61.93,,81.98542274052478
57,57,Semarang,2021,24906.0,131043.0,52.62,"Klimatologi, Semarang",82.0
58,58,Temanggung,2021,10722.0,62967.0,58.73,,81.92592592592592
59,59,Kendal,2021,33513.0,185218.0,55.27,,81.74074074074075
60,60,Batang,2021,28360.0,141701.0,49.97,,81.5
61,61,Pekalongan,2021,41792.0,185622.0,44.42,,81.25925925925927
62,62,Pemalang,2021,75618.0,409805.0,54.19,,81.07407407407408
63,63,Tegal,2021,65061.0,341080.0,52.42,"Meteorologi, Tegal",81.0
64,64,Brebes,2021,86088.0,469890.0,54.58,,81.01751077586206
65,65,Kota Magelang,2021,138.0,711.0,51.52,,81.06896551724138
66,66,Kota Surakarta,2021,33.0,180.0,54.55,,81.15274784482759
67,67,Kota Salatiga,2021,613.0,3401.0,55.48,,81.26724137931033
68,68,Kota Semarang,2021,4285.0,20288.0,47.35,,81.4108297413793
69,69,Kota Pekalongan,2021,1423.0,7332.0,51.52,,81.58189655172414
70,70,Kota Tegal,2021,505.0,2443.0,48.38,,81.77882543103448
71,71,Cilacap,2022,122413.0,772113.0,63.07,"Meteorologi, Cilacap",82.0
72,72,Banyumas,2022,52539.0,284554.0,54.16,,82.59967672413794
73,73,Purbalingga,2022,29278.0,165622.0,56.57,,83.61637931034483
74,74,Banjarnegara,2022,19943.0,114912.0,57.62,,84.57489224137932
75,75,Kebumen,2022,75408.0,425285.0,56.4,"Sempor, Kebumen",85.0
76,76,Purworejo,2022,51069.0,283105.0,55.44,,85.0
77,77,Wonosobo,2022,13899.0,70459.0,50.69,,85.0
78,78,Magelang,2022,32991.0,175080.0,53.07,"SMPK. Borobudur, Magelang",85.0
79,79,Boyolali,2022,51555.0,302311.0,58.64,"SMPK Adi Sumarmo, Boyolali",81.0
80,80,Klaten,2022,64958.0,367724.0,56.61,,80.8057760413406
81,81,Sukoharjo,2022,48207.0,308688.0,64.03,,80.63817507144753
