Kabupaten,Tahun,Luas Panen,Hasil Panen,Produktivitas,Station,Humidity
Cilacap,2013,1555.0,2093.392,13.46232797427653,"Meteorologi, Cilacap",82.0
Banyumas,2013,738.0,850.1670000000001,11.51987804878049,,82.5
Purbalingga,2013,129.0,204.291,15.83651162790698,,83.0
Banjarnegara,2013,277.0,319.155,11.52184115523466,,83.5
Kebumen,2013,3217.0,4539.329000000001,14.11044140503575,"Sempor, Kebumen",84.0
Purworejo,2013,1927.0,2651.552,13.76,,82.5
Wonosobo,2013,14.0,18.2,13.0,"Wadaslintang, Wonosobo",81.0
Magelang,2013,0.0,0.0,0.0,"SMPK. Borobudur, Magelang",82.0
Boyolali,2013,1959.0,2316.549,11.82516079632466,,81.7
Klaten,2013,630.0,772.607,12.26360317460317,,81.4
Sukoharjo,2013,1819.0,3523.234,19.36907091808686,,81.1
Wonogiri,2013,14753.0,20999.627,14.23414017487969,,80.8
Karanganyar,2013,173.0,236.418,13.66578034682081,,80.5
Sragen,2013,2477.0,3235.413,13.06182075090836,,80.2
Grobogan,2013,15606.0,28972.53,18.56499423298731,,79.9
Blora,2013,2824.0,5205.833999999999,18.43425637393768,,79.6
Rembang,2013,5560.0,4972.261,8.942915467625898,,79.30000000000001
Pati,2013,3192.0,3988.348,12.49482456140351,"SMPK. Rendole, Pati",79.0
Kudus,2013,67.0,143.38,21.4,"SMPK. Colo, Kudus",79.0
Jepara,2013,35.0,35.037,10.01057142857143,,78.66666666666667
Demak,2013,2921.0,6612.26,22.63697363916467,,78.33333333333334
Semarang,2013,99.0,134.147,13.55020202020202,"Klimatologi, Semarang",78.0
Semarang,2013,99.0,134.147,13.55020202020202,"SI Ungaran, Semarang",79.0
Temanggung,2013,2.0,4.146,20.73,,80.0
Kendal,2013,1448.0,2098.701,14.49379143646409,,81.0
Batang,2013,0.0,0.0,0.0,"Gamer, Batang",82.0
Pekalongan,2013,35.0,34.031,9.723142857142856,,81.0
Pemalang,2013,0.0,0.0,0.0,,80.0
Tegal,2013,36.0,44.784,12.44,"Meteorologi, Tegal",79.0
