Kabupaten,Tahun,Luas Panen,Hasil Panen,Produktivitas,Station,Humidity
Cilacap,2013,1555.0,2093.392,13.46232797427653,"Meteorologi, Cilacap",82.0
Banyumas,2013,738.0,850.1670000000001,11.51987804878049,,83.92978088666091
Purbalingga,2013,129.0,204.291,15.83651162790698,,84.90637451554788
Banjarnegara,2013,277.0,319.155,11.52184115523466,,84.92978088666091
Kebumen,2013,3217.0,4539.329000000001,14.11044140503575,"Sempor, Kebumen",84.0
Purworejo,2013,1927.0,2651.552,13.76,,82.11703185556516
Wonosobo,2013,14.0,18.2,13.0,"Wadaslintang, Wonosobo",81.0
Magelang,2013,0.0,0.0,0.0,"SMPK. Borobudur, Magelang",82.0
Boyolali,2013,1959.0,2316.549,11.82516079632466,,82.90886397587629
Klaten,2013,630.0,772.607,12.26360317460317,,83.35856394768072
Sukoharjo,2013,1819.0,3523.234,19.36907091808686,,83.34909991541333
Wonogiri,2013,14753.0,20999.627,14.23414017487969,,82.8804718790741
Karanganyar,2013,173.0,236.418,13.66578034682081,,81.95267983866299
Sragen,2013,2477.0,3235.413,13.06182075090836,,80.90867341115886
Grobogan,2013,15606.0,28972.53,18.56499423298731,,80.0914022135405
Blora,2013,2824.0,5205.833999999999,18.43425637393768,,79.50086624580788
Rembang,2013,5560.0,4972.261,8.942915467625898,,79.13706550796104
Pati,2013,3192.0,3988.348,12.49482456140351,"SMPK. Rendole, Pati",79.0
Kudus,2013,67.0,143.38,21.4,"SMPK. Colo, Kudus",79.0
Jepara,2013,35.0,35.037,10.01057142857143,,78.599047176413
Demak,2013,2921.0,6612.26,22.63697363916467,,77.89355248590277
Semarang,2013,99.0,134.147,13.55020202020202,"Klimatologi, Semarang",78.0
Semarang,2013,99.0,134.147,13.55020202020202,"SI Ungaran, Semarang",79.0
Temanggung,2013,2.0,4.146,20.73,,80.26673010214422
Kendal,2013,1448.0,2098.701,14.49379143646409,,81.55272330680775
Batang,2013,0.0,0.0,0.0,"Gamer, Batang",82.0
Pekalongan,2013,35.0,34.031,9.723142857142856,,81.46556357938917
Pemalang,2013,0.0,0.0,0.0,,80.12146388977992
Tegal,2013,36.0,44.784,12.44,"Meteorologi, Tegal",79.0
Brebes,2013,3785.0,5312.324,14.03520211360634,,78.27322175485405
Kota Magelang,2013,0.0,0.0,0.0,,77.94112915434206
Kota Surakarta,2013,0.0,0.0,0.0,,78.00372219846405
Kota Salatiga,2013,0.0,0.0,0.0,,78.46100088722001
Kota Semarang,2013,0.0,0.0,0.0,,79.17315446507345
Kota Pekalongan,2013,0.0,0.0,0.0,,80.00037217648794
Kota Tegal,2013,0.0,0.0,0.0,,80.94265402146347
Cilacap,2014,2990.0,3218.686,10.76483612040134,"Meteorologi, Cilacap",82.0
Banyumas,2014,1952.0,1864.782,9.553186475409838,,83.17241011209757
Purbalingga,2014,66.0,95.534,14.47484848484848,,84.45988435775617
Banjarnegara,2014,9.0,9.365,10.40555555555556,,85.26741642453669
Kebumen,2014,6817.0,8464.978000000001,12.41745342526038,"Sempor, Kebumen",85.0
Purworejo,2014,3051.0,5655.389999999999,18.53618485742379,,83.65763508414612
Wonosobo,2014,29.0,35.7,12.31034482758621,"Wadaslintang, Wonosobo",82.0
Magelang,2014,0.0,0.0,0.0,"SMPK. Borobudur, Magelang",81.0
Boyolali,2014,2556.0,3080.93904,12.05375211267606,,81.93699666062665
Klaten,2014,2167.0,3942.418000000001,18.19297646515921,,85.02421691129334
Sukoharjo,2014,1626.0,3004.547,18.47814883148832,,88.34932870631339
