Kabupaten,Tahun,Luas Panen,Hasil Panen,Produktivitas,Station,Humidity
Cilacap,2014,132074.0,697918.4510000001,52.84298582612778,"Meteorologi, Cilacap",82.0
Banyumas,2014,63831.0,316916.516,49.64931083642745,,84.03112912499614
Purbalingga,2014,36149.0,174031.418,48.14280284378545,,85.20817216666151
Banjarnegara,2014,25684.0,147390.53,57.38612755022581,,85.53112912499614
Kebumen,2014,80248.0,447305.641,55.7404098544512,"Sempor, Kebumen",85.0
Purworejo,2014,55526.0,298340.861,53.7299393077117,,83.61478479167312
Wonosobo,2014,30528.0,152321.099,49.89553819444445,"Wadaslintang, Wonosobo",82.0
Magelang,2014,57579.0,334987.242,58.17871828270724,"SMPK. Borobudur, Magelang",81.0
Boyolali,2014,49781.0,266490.386372682,53.53254984284807,,81.93381204188188
Klaten,2014,63751.0,344548.106,54.0459139464479,,85.02127400068039
Sukoharjo,2014,49028.0,310275.914,63.28545198661989,,88.34809895913872
Wonogiri,2014,74672.0,395043.319,52.90380852260553,"SMPK. Selogiri, Wonogiri",90.0
Karanganyar,2014,46671.0,289381.448,62.00455272010456,,89.9769771232642
Sragen,2014,100061.0,584627.294,58.42708887578577,,88.27903032893138
Grobogan,2014,113540.0,579076.1100000001,51.00194733133698,,84.90615961700149
Blora,2014,82732.0,424436.164,51.30253879998066,,81.33192010129349
Rembang,2014,39673.0,182544.51,46.01227787160034,,79.02986689562633
Pati,2014,92559.0,497070.277,53.70307339102627,"SMPK. Rendole, Pati",78.0
Kudus,2014,21682.0,129088.077,59.53697859976018,"SMPK. Colo, Kudus",78.0
Jepara,2014,38833.0,204010.905,52.53544794375917,,77.5759504091394
Demak,2014,96675.0,566627.179,58.61155200413758,,76.62678245616002
Semarang,2014,38510.0,218528.646,56.74594806543755,"Klimatologi, Semarang",76.0
Semarang,2014,38510.0,218528.646,56.74594806543755,"SI Ungaran, Semarang",76.0
Temanggung,2014,27156.0,161625.326,59.51735380762999,,77.60566035326568
Kendal,2014,43616.0,235579.659,54.01221088591342,,80.52197170174276
Batang,2014,42007.0,178491.603,42.49091889446997,"Gamer, Batang",82.0
Pekalongan,2014,42604.0,172077.873,40.39007440615904,,81.58158957379882
Pemalang,2014,82961.0,421639.352,50.82380299176722,,79.59391236224802
Tegal,2014,60649.0,297206.432,49.0043417039028,"Meteorologi, Tegal",78.0
Brebes,2014,99756.0,571508.066,57.29059565339428,,77.1270244261635
Kota Magelang,2014,523.0,3042.796,58.17965583173997,,76.97498564073855
Kota Surakarta,2014,185.0,955.979,51.67454054054054,,77.54388364372514
Kota Salatiga,2014,1328.0,7652.351000000001,57.623125,,78.83371843512325
Kota Semarang,2014,7808.0,25490.447,32.64657658811475,,80.33183842213097
Kota Pekalongan,2014,1882.0,8305.313,44.13024973432519,,81.5255920119463
Kota Tegal,2014,646.0,3569.155,55.25007739938081,,82.4149792045693
Cilacap,2021,115664.0,739140.0,63.9,"Meteorologi, Cilacap",83.0
Banyumas,2021,52315.0,289998.0,55.43,,83.28065439823831
Purbalingga,2021,29420.0,157840.0,53.65,,83.25694239928428
Banjarnegara,2021,19231.0,108445.0,56.39,,82.92886400313792
Kebumen,2021,74646.0,392998.0,52.65,,82.34595213945984
Purworejo,2021,48392.0,258863.0,53.49,,81.80540438621384
Wonosobo,2021,13259.0,67479.0,50.89,,81.35675367306057
Magelang,2021,32597.0,169584.0,52.02,"SMPK. Borobudur, Magelang",81.0
Boyolali,2021,50948.0,286152.0,56.17,,80.73514336703215
Klaten,2021,67242.0,387733.0,57.66,,80.562183774157
Sukoharjo,2021,49935.0,328275.0,65.74,,80.48112122137462
Wonogiri,2021,68773.0,405989.0,59.03,,80.4919557086849
Karanganyar,2021,45356.0,271490.0,59.86,,80.59468723608794
Sragen,2021,112111.0,743074.0,66.28,,80.78931580358366
Grobogan,2021,132664.0,800945.0,60.37,,81.07584141117209
Blora,2021,98967.0,483977.0,48.9,,81.37967961422291
Rembang,2021,37034.0,196084.0,52.95,,81.62624596810574
Pati,2021,99147.0,549005.0,55.37,,81.81554047282057
Kudus,2021,30112.0,171357.0,56.91,,81.94756312836742
Jepara,2021,39785.0,191726.0,48.19,,82.02231393474625
Demak,2021,106057.0,656823.0,61.93,,82.03979289195712
Semarang,2021,24906.0,131043.0,52.62,"Klimatologi, Semarang",82.0
Temanggung,2021,10722.0,62967.0,58.73,,81.90293525887486
Kendal,2021,33513.0,185218.0,55.27,,81.74859866858175
Batang,2021,28360.0,141701.0,49.97,,81.53699022912065
Pekalongan,2021,41792.0,185622.0,44.42,,81.31716173874385
Pemalang,2021,75618.0,409805.0,54.19,,81.13816499570363
Tegal,2021,65061.0,341080.0,52.42,"Meteorologi, Tegal",81.0
Brebes,2021,86088.0,469890.0,54.58,,80.90266675163296
Kota Magelang,2021,138.0,711.0,51.52,,80.84616525060251
Kota Surakarta,2021,33.0,180.0,54.55,,80.83049549690867
Kota Salatiga,2021,613.0,3401.0,55.48,,80.85565749055138
Kota Semarang,2021,4285.0,20288.0,47.35,,80.96136229787517
Kota Pekalongan,2021,1423.0,7332.0,51.52,,81.18732098522455
Kota Tegal,2021,505.0,2443.0,48.38,,81.53353355259948
Cilacap,2022,122413.0,772113.0,63.07,"Meteorologi, Cilacap",82.0
Banyumas,2022,52539.0,284554.0,54.16,,82.5867203274261
Purbalingga,2022,29278.0,165622.0,56.57,,83.29369453487774
Banjarnegara,2022,19943.0,114912.0,57.62,,84.10382147489052
Kebumen,2022,75408.0,425285.0,56.4,"Sempor, Kebumen",85.0
Purworejo,2022,51069.0,283105.0,55.44,,85.98223011020619
Wonosobo,2022,13899.0,70459.0,50.69,,86.69441790707477
Magelang,2022,32991.0,175080.0,53.07,"SMPK. Borobudur, Magelang",85.0
Boyolali,2022,51555.0,302311.0,58.64,"SMPK Adi Sumarmo, Boyolali",81.0
Klaten,2022,64958.0,367724.0,56.61,,77.437122963789
Sukoharjo,2022,48207.0,308688.0,64.03,,74.76848640081934
Wonogiri,2022,67439.0,380055.0,56.36,,72.99409031109107
Karanganyar,2022,44750.0,277554.0,62.02,,72.11393469460413
Sragen,2022,113183.0,683496.0,60.39,,72.12801955135856
Grobogan,2022,136726.0,787275.0,57.58,,73.03634488135435
Blora,2022,96972.0,485012.0,50.02,,74.69433461688686
Rembang,2022,34286.0,180299.0,52.59,,76.23453235172832
Pati,2022,105948.0,588697.0,55.56,,77.51236201817404
Kudus,2022,33322.0,196822.0,59.07,,78.5278236162241
Jepara,2022,41602.0,209088.0,50.26,,79.28091714587842
Demak,2022,103402.0,617855.0,59.75,,79.77164260713707
Semarang,2022,27860.0,147746.0,53.03,"SMPK. Balit Getas, Semarang",80.0
Semarang,2022,27860.0,147746.0,53.03,"Klimatologi, Semarang",80.0
Temanggung,2022,10297.0,58782.0,57.09,,79.97570666033373
Kendal,2022,31299.0,169771.0,54.24,,79.96113065653398
Batang,2022,25911.0,131915.0,50.91,,79.95627198860072
Pekalongan,2022,37530.0,167071.0,44.52,,79.96113065653398
Pemalang,2022,76394.0,405440.0,53.07,,79.97570666033374
Tegal,2022,64094.0,340554.0,53.13,"Meteorologi, Tegal",80.0
Brebes,2022,80331.0,450663.0,56.1,,
Kota Magelang,2022,147.0,798.0,54.29,,
Kota Surakarta,2022,27.0,156.0,57.78,,
Kota Salatiga,2022,650.0,3614.0,55.6,,
Kota Semarang,2022,3027.0,15691.0,51.84,,
Kota Pekalongan,2022,1351.0,7684.0,56.88,,
Kota Tegal,2022,626.0,3179.0,50.78,,
