Kabupaten,Tahun,Luas Panen,Hasil Panen,Produktivitas,Station,Humidity
Cilacap,2014,2682.0,15278.107,56.9653504847129,"Meteorologi, Cilacap",82.0
Banyumas,2014,2683.0,14219.555,52.99871412597838,,83.48060267646642
Purbalingga,2014,5861.0,31800.95,54.25857362224876,,84.30196069698036
Banjarnegara,2014,14167.0,78989.632,55.7560753864615,,84.57263454090598
Kebumen,2014,4221.0,23414.732,55.47200189528547,"Sempor, Kebumen",85.0
Purworejo,2014,2381.0,14935.1,62.72616547669047,,83.46192969899232
Wonosobo,2014,24461.0,97420.303,39.82678672172029,"Wadaslintang, Wonosobo",82.0
Magelang,2014,10970.0,59356.475,54.10799908842297,"SMPK. Borobudur, Magelang",81.0
Boyolali,2014,26933.0,136434.02,50.65682248542679,,84.05110723754716
Klaten,2014,11178.0,82934.78,74.19465020576132,,85.77432119058139
Sukoharjo,2014,2210.0,18497.964,83.70119457013574,,87.37519475395304
Wonogiri,2014,53078.0,304048.04,57.28325106447115,"SMPK. Selogiri, Wonogiri",90.0
Karanganyar,2014,5001.0,35295.336,70.57655668866227,,89.78470214013208
Sragen,2014,15323.0,97011.006,63.31071330679372,,89.74289881978648
Grobogan,2014,105447.0,590775.63,56.02583572790122,,88.72831796662528
Blora,2014,47199.0,244814.552,51.86858874128689,,86.74095958064851
Rembang,2014,26948.0,128384.842,47.64169585869081,,83.78082366185616
Pati,2014,20751.0,126410.688,60.91787769264131,"SMPK. Rendole, Pati",78.0
Kudus,2014,2792.0,17063.72,61.11647564469915,"SMPK. Colo, Kudus",78.0
Jepara,2014,6752.0,52162.414,77.25476007109006,,75.0409837018027
Demak,2014,26082.0,192155.504,73.67360785215857,,74.59255725021845
Semarang,2014,13589.0,71486.1,52.60585767900508,"Klimatologi, Semarang",76.0
Semarang,2014,13589.0,71486.1,52.60585767900508,"SI Ungaran, Semarang",76.0
Temanggung,2014,22865.0,104529.865,45.7161010277717,,79.43852181973637
Kendal,2014,31607.0,214636.92,67.90803303065776,,80.85735665659804
Batang,2014,8395.0,49761.095,59.27468135795117,"Gamer, Batang",82.0
Pekalongan,2014,1936.0,8557.848,44.20376033057852,,81.18236986825204
Pemalang,2014,8179.0,27764.346,33.94589314097078,,80.08854824304434
Tegal,2014,15790.0,99962.717,63.3076105129829,"Meteorologi, Tegal",78.0
Brebes,2014,17799.0,111333.19,62.55025001404573,,75.38824853055957
Kota Magelang,2014,0.0,0.0,0.0,,71.78177044328248
Kota Surakarta,2014,0.0,0.0,0.0,,67.33774020198231
Kota Salatiga,2014,196.0,514.146,26.2319387755102,,62.05615780665897
Kota Semarang,2014,626.0,1566.147,25.01832268370607,,55.93702325731249
Kota Pekalongan,2014,0.0,0.0,0.0,,48.98033655394295
Kota Tegal,2014,0.0,0.0,0.0,,41.18609769655018
