Kabupaten,Tahun,Luas Panen,Hasil Panen,Produktivitas,Station,Humidity
Cilacap,2014,132074.0,697918.4510000001,52.84298582612778,"Meteorologi, Cilacap",82.0
Banyumas,2014,63831.0,316916.516,49.64931083642745,,83.63519879851725
Purbalingga,2014,36149.0,174031.418,48.14280284378545,,84.54286826816127
Banjarnegara,2014,25684.0,147390.53,57.38612755022581,,84.81118347986512
Kebumen,2014,80248.0,447305.641,55.7404098544512,"Sempor, Kebumen",85.0
Purworejo,2014,55526.0,298340.861,53.7299393077117,,83.42975112945248
Wonosobo,2014,30528.0,152321.099,49.89553819444445,"Wadaslintang, Wonosobo",82.0
Magelang,2014,57579.0,334987.242,58.17871828270724,"SMPK. Borobudur, Magelang",81.0
Boyolali,2014,49781.0,266490.386372682,53.53254984284807,,84.97817914563302
Klaten,2014,63751.0,344548.106,54.0459139464479,,86.99816235246428
Sukoharjo,2014,49028.0,310275.914,63.28545198661989,,88.35933806581352
Wonogiri,2014,74672.0,395043.319,52.90380852260553,"SMPK. Selogiri, Wonogiri",90.0
Karanganyar,2014,46671.0,289381.448,62.00455272010456,,89.10526701206604
Sragen,2014,100061.0,584627.294,58.42708887578577,,88.49002024496934
Grobogan,2014,113540.0,579076.1100000001,51.00194733133698,,87.21596598439064
Blora,2014,82732.0,424436.164,51.30253879998066,,85.28310423032995
Rembang,2014,39673.0,182544.51,46.01227787160034,,82.69143498278729
Pati,2014,92559.0,497070.277,53.70307339102627,"SMPK. Rendole, Pati",78.0
Kudus,2014,21682.0,129088.077,59.53697859976018,"SMPK. Colo, Kudus",78.0
Jepara,2014,38833.0,204010.905,52.53544794375917,,75.40649457921768
Demak,2014,96675.0,566627.179,58.61155200413758,,74.93473972039656
Semarang,2014,38510.0,218528.646,56.74594806543755,"Klimatologi, Semarang",76.0
Semarang,2014,38510.0,218528.646,56.74594806543755,"SI Ungaran, Semarang",76.0
Temanggung,2014,27156.0,161625.326,59.51735380762999,,80.20208961640338
Kendal,2014,43616.0,235579.659,54.01221088591342,,81.13019854002287
Batang,2014,42007.0,178491.603,42.49091889446997,"Gamer, Batang",82.0
Pekalongan,2014,42604.0,172077.873,40.39007440615904,,79.08537873750485
Pemalang,2014,82961.0,421639.352,50.82380299176722,,78.7535552891517
Tegal,2014,60649.0,297206.432,49.0043417039028,"Meteorologi, Tegal",78.0
Brebes,2014,99756.0,571508.066,57.29059565339428,,80.26370883743982
Kota Magelang,2014,523.0,3042.796,58.17965583173997,,81.04983563466216
Kota Surakarta,2014,185.0,955.979,51.67454054054054,,81.68068741403349
Kota Salatiga,2014,1328.0,7652.351000000001,57.623125,,82.15626417555386
Kota Semarang,2014,7808.0,25490.447,32.64657658811475,,82.47656591922323
Kota Pekalongan,2014,1882.0,8305.313,44.13024973432519,,82.64159264504161
Kota Tegal,2014,646.0,3569.155,55.25007739938081,,82.65134435300901
Cilacap,2021,115664.0,739140.0,63.9,"Meteorologi, Cilacap",83.0
Banyumas,2021,52315.0,289998.0,55.43,,82.28968377209242
Purbalingga,2021,29420.0,157840.0,53.65,,82.08759359661147
Banjarnegara,2021,19231.0,108445.0,56.39,,81.89955051668264
Kebumen,2021,74646.0,392998.0,52.65,,81.72555453230588
Purworejo,2021,48392.0,258863.0,53.49,,81.56560564348125
Wonosobo,2021,13259.0,67479.0,50.89,,81.41970385020872
Magelang,2021,32597.0,169584.0,52.02,"SMPK. Borobudur, Magelang",81.0
Boyolali,2021,50948.0,286152.0,56.17,,81.17004155031991
Klaten,2021,67242.0,387733.0,57.66,,81.06628104370364
Sukoharjo,2021,49935.0,328275.0,65.74,,80.97656763263949
Wonogiri,2021,68773.0,405989.0,59.03,,80.90090131712743
