Kabupaten,Tahun,Luas Panen,Hasil Panen,Produktivitas,Humidity
Cilacap,2013,1737.0,2274.596642120152,13.09497203293121,82.0
Banyumas,2013,207.0,108.8105544327669,5.256548523322072,82.63749534754199
Purbalingga,2013,34.0,43.77846067064139,12.87601784430629,82.9680462694894
Banjarnegara,2013,4.0,2.719,6.797500000000001,83.09942617061289
Kebumen,2013,7093.0,7093.628853142302,10.00088658274679,84.0
Purworejo,2013,158.0,172.3239773949541,10.90658084778191,82.76467291038786
Wonosobo,2013,1.0,1.196590468163935,11.96590468163935,81.0
Magelang,2013,0.0,0.0,0.0,82.0
Boyolali,2013,13.0,0.0,0.0,81.25122961241708
Klaten,2013,82.0,99.82508781255083,12.17379119665254,80.79066994927983
Sukoharjo,2013,47.0,60.677,12.91,80.37217388959186
Wonogiri,2013,87.0,87.50333473241517,10.05785456694427,79.9957414333532
Karanganyar,2013,0.0,0.0,0.0,79.6613725805638
Sragen,2013,695.0,872.2148844088601,12.54985445192604,79.3690673312237
Grobogan,2013,12231.0,13051.92771211318,10.67118609444296,79.1188256853329
Blora,2013,2188.0,2445.408210463074,11.17645434398114,78.91064764289136
Rembang,2013,3699.0,3551.207066058636,9.600451651956304,78.74453320389912
Pati,2013,10357.0,12509.97430258135,12.07876248197485,79.0
Kudus,2013,954.0,958.143,10.04342767295597,79.0
Jepara,2013,45.0,57.22499999999999,12.71666666666667,78.60705093598278
Demak,2013,13746.0,15874.48376797493,11.54843864977079,78.74479019624353
Semarang,2013,0.0,0.0,0.0,78.0
Semarang,2013,0.0,0.0,0.0,79.0
Temanggung,2013,0.0,0.0,0.0,79.65815635267666
Kendal,2013,1461.0,1684.311729782503,11.52848548790214,79.94809429304736
Batang,2013,2.0,2.088050366946066,10.44025183473033,82.0
Pekalongan,2013,626.0,549.002,8.77,80.3508509458505
Pemalang,2013,45.0,45.885,10.19666666666667,80.46366965828295
Tegal,2013,29.0,25.26477720803902,8.71199214070311,79.0
Brebes,2013,2264.0,2551.36304831839,11.26927141483388,80.56005862831793
Kota Magelang,2013,0.0,0.0,0.0,80.63937043213716
Kota Surakarta,2013,0.0,0.0,0.0,80.75538403952696
Kota Salatiga,2013,0.0,0.0,0.0,80.90809945048736
Kota Semarang,2013,136.0,153.5959499501421,11.29381984927515,81.09751666501836
Kota Pekalongan,2013,0.0,0.0,0.0,81.32363568311996
Kota Tegal,2013,0.0,0.0,0.0,81.58645650479212
Cilacap,2014,3139.0,4209.993,13.41189232239567,82.0
Banyumas,2014,288.0,151.224,5.250833333333333,82.22220355884829
Purbalingga,2014,15.0,19.367,12.91133333333334,82.59512979123225
Banjarnegara,2014,7.0,1.96,2.8,83.0047578271868
Kebumen,2014,9731.0,9469.004,9.730761483917377,85.0
Purworejo,2014,264.0,365.316,13.83772727272727,83.57767367963635
Wonosobo,2014,0.0,0.0,0.0,82.0
Magelang,2014,0.0,0.0,0.0,81.0
Boyolali,2014,19.0,13.248,6.972631578947369,81.08776955327893
Klaten,2014,174.0,195.927,11.2601724137931,82.07202146562057
Sukoharjo,2014,33.0,39.633,12.01,84.75503307219381
Wonogiri,2014,193.0,220.972,11.44932642487047,90.0
Karanganyar,2014,0.0,0.0,0.0,93.22997149207059
Sragen,2014,505.0,619.914,12.27552475247525,95.04717055344497
Grobogan,2014,18183.0,21925.358,12.05816311939724,94.58840155712181
Blora,2014,1983.0,1915.396,9.659082198688855,91.85366450310109
Rembang,2014,2414.0,2976.979,12.33214167357084,86.84295939138283
Pati,2014,11300.0,12747.758,11.2812017699115,78.0
Kudus,2014,2238.0,2419.34,10.81027703306524,78.0
Jepara,2014,30.0,37.835,12.61166666666667,78.32385945471545
Demak,2014,25421.0,34099.481,13.41390228551198,77.92704846012745
Semarang,2014,0.0,0.0,0.0,76.0
Semarang,2014,0.0,0.0,0.0,76.0
Temanggung,2014,0.0,0.0,0.0,81.99017634546479
Kendal,2014,1022.0,1206.282,11.80315068493151,83.2675390652003
Batang,2014,0.0,0.0,0.0,82.0
Pekalongan,2014,428.0,380.92,8.9,77.93944728236794
Pemalang,2014,107.0,77.417,7.235233644859813,77.22807932277766
Tegal,2014,143.0,172.948,12.09426573426573,78.0
Brebes,2014,2456.0,2800.022,11.40074104234528,81.23175850283192
Kota Magelang,2014,0.0,0.0,0.0,83.09483757066506
Kota Surakarta,2014,0.0,0.0,0.0,84.39008161173363
Kota Salatiga,2014,0.0,0.0,0.0,85.11749062603764
Kota Semarang,2014,128.0,152.409,11.906953125,85.27706461357707
Kota Pekalongan,2014,0.0,0.0,0.0,84.86880357435193
Kota Tegal,2014,0.0,0.0,0.0,83.89270750836224
Cilacap,2015,796.0,1076.021,13.51785175879397,83.0
Banyumas,2015,187.0,92.0,4.919786096256685,80.71122906265545
Purbalingga,2015,7.0,9.556,13.65142857142857,79.45428421607096
Banjarnegara,2015,7290.303879084172,9540.025825788218,18.143878671574996,78.57794187585455
Kebumen,2015,10439.0,13619.0,13.04626879969346,77.0
Purworejo,2015,691.0,956.512,13.84243125904486,77.96706471452586
Wonosobo,2015,2.0,2.0,10.0,80.0
Magelang,2015,491.2832685977535,605.450726388947,5.2295324917691595,78.0
Boyolali,2015,306.2841363164898,359.0154701440918,4.939782010410235,80.52287410403704
Klaten,2015,112.0,120.3,10.74107142857143,81.54560535424758
Sukoharjo,2015,19.0,23.009,12.11,82.26641425058853
Wonogiri,2015,98.0,122.0,12.44897959183674,82.68530079305987
Karanganyar,2015,5.0,5.0,10.0,82.80226498166162
Sragen,2015,294.0,374.936,12.75292517006803,82.61730681639382
Grobogan,2015,22790.0,26317.0,11.54760860026327,82.1304262972564
Blora,2015,1724.0,1993.902,11.56555684454757,81.3416234242494
Rembang,2015,1961.0,2238.0,11.41254462009179,80.25089819737283
Pati,2015,9090.0,10075.22,11.08385038503851,79.0
Kudus,2015,3960.0,4528.0,11.43434343434343,77.0
Jepara,2015,24.0,30.12,12.55,75.16718839352558
Demak,2015,27447.0,34536.28,12.582897948774,72.86877375117065
Semarang,2015,39857.91302532257,50126.13004988365,12.8436800795885,72.0
Semarang,2015,28528.15051068855,35835.903455946696,12.73104874524743,69.0
Temanggung,2015,10018.929967439833,12533.676185008504,12.315959886299234,75.3385375593549
Kendal,2015,895.0,1088.0,12.15642458100559,77.47179562039786
Batang,2015,1.0,1.0,10.0,79.0
Pekalongan,2015,255.0,223.38,8.759999999999998,77.2746340574169
Pemalang,2015,14.0,12.01,8.57857142857143,77.14553151842738
Tegal,2015,58.0,61.0,10.51724137931035,77.0
Brebes,2015,1295.0,1461.857,11.28847104247104,77.92694146796734
Magelang,2015,1847.5444189947614,2103.9545760177775,12.440568643798494,78.0
Surakarta,2015,1372.3239957371084,1596.8965948527537,12.956480312982078,79.0
Salatiga,2015,540.1195210183415,663.3432697395364,12.906832769527671,80.0
Semarang,2015,22.0,26.0,11.81818181818182,72.0
