,Unnamed: 0.1,Unnamed: 0,Kabupaten,Tahun,Luas Panen,Hasil Panen,Produktivitas,Station,Humidity
0,0,0,Cilacap,2014,2682.0,15278.107,56.9653504847129,"Meteorologi, Cilacap",82.0
1,1,1,Banyumas,2014,2683.0,14219.555,52.99871412597838,,82.75
2,2,2,Purbalingga,2014,5861.0,31800.95,54.25857362224876,,83.5
3,3,3,Banjarnegara,2014,14167.0,78989.632,55.7560753864615,,84.25
4,4,4,Kebumen,2014,4221.0,23414.732,55.47200189528547,"Sempor, Kebumen",85.0
5,5,5,Purworejo,2014,2381.0,14935.1,62.72616547669047,,83.5
6,6,6,Wonosobo,2014,24461.0,97420.303,39.82678672172029,"Wadaslintang, Wonosobo",82.0
7,7,7,Magelang,2014,10970.0,59356.475,54.10799908842297,"SMPK. Borobudur, Magelang",81.0
8,8,8,Boyolali,2014,26933.0,136434.02,50.65682248542679,,83.25
9,9,9,Klaten,2014,11178.0,82934.78,74.19465020576132,,85.5
10,10,10,Sukoharjo,2014,2210.0,18497.964,83.70119457013574,,87.75
11,11,11,Wonogiri,2014,53078.0,304048.04,57.28325106447115,"SMPK. Selogiri, Wonogiri",90.0
12,12,12,Karanganyar,2014,5001.0,35295.336,70.57655668866227,,88.0
13,13,13,Sragen,2014,15323.0,97011.006,63.31071330679372,,86.0
14,14,14,Grobogan,2014,105447.0,590775.63,56.02583572790122,,84.0
15,15,15,Blora,2014,47199.0,244814.552,51.86858874128689,,82.0
16,16,16,Rembang,2014,26948.0,128384.842,47.64169585869081,,80.0
17,17,17,Pati,2014,20751.0,126410.688,60.91787769264131,"SMPK. Rendole, Pati",78.0
18,18,18,Kudus,2014,2792.0,17063.72,61.11647564469915,"SMPK. Colo, Kudus",78.0
19,19,19,Jepara,2014,6752.0,52162.414,77.25476007109006,,77.33333333333334
20,20,20,Demak,2014,26082.0,192155.504,73.67360785215857,,76.66666666666667
21,21,21,Semarang,2014,13589.0,71486.1,52.60585767900508,"Klimatologi, Semarang",76.0
22,22,22,Semarang,2014,13589.0,71486.1,52.60585767900508,"SI Ungaran, Semarang",76.0
23,23,23,Temanggung,2014,22865.0,104529.865,45.7161010277717,,78.0
24,24,24,Kendal,2014,31607.0,214636.92,67.90803303065776,,80.0
25,25,25,Batang,2014,8395.0,49761.095,59.27468135795117,"Gamer, Batang",82.0
26,26,26,Pekalongan,2014,1936.0,8557.848,44.20376033057852,,80.66666666666667
27,27,27,Pemalang,2014,8179.0,27764.346,33.94589314097078,,79.33333333333334
28,28,28,Tegal,2014,15790.0,99962.717,63.3076105129829,"Meteorologi, Tegal",78.0
29,29,29,Brebes,2014,17799.0,111333.19,62.55025001404573,,
30,30,30,Kota Magelang,2014,0.0,0.0,0.0,,
31,31,31,Kota Surakarta,2014,0.0,0.0,0.0,,
32,32,32,Kota Salatiga,2014,196.0,514.146,26.2319387755102,,
33,33,33,Kota Semarang,2014,626.0,1566.147,25.01832268370607,,
34,34,34,Kota Pekalongan,2014,0.0,0.0,0.0,,
35,35,35,Kota Tegal,2014,0.0,0.0,0.0,,
